course_id,course_name,date,time,subject,content,instructor,sub_instructor
kdt-backendj-21th,백엔드 부트캠프 21기: Java,2026-02-02,09:00 ~ 12:00,객체지향 프로그래밍,"데코레이터 패턴, 옵저버 패턴",김영아,"김다은, 정석현"
kdt-backendj-21th,백엔드 부트캠프 21기: Java,2026-02-02,13:00 ~ 18:00,객체지향 프로그래밍,"파사드 패턴, 전략 패턴",김영아,"김다은, 정석현"
kdt-backendj-21th,백엔드 부트캠프 21기: Java,2026-02-03,09:00 ~ 12:00,Front-End Programming,"HTML, CSS를 이용한 화면 설계 및 표현",김영아,"김다은, 정석현"
kdt-backendj-21th,백엔드 부트캠프 21기: Java,2026-02-03,13:00 ~ 18:00,Front-End Programming,"HTML, CSS를 이용한 화면 설계 및 표현",김영아,"김다은, 정석현"
kdt-backendj-21th,백엔드 부트캠프 21기: Java,2026-02-04,09:00 ~ 12:00,Front-End Programming,"HTML, CSS를 이용한 화면 설계 및 표현",김영아,"김다은, 정석현"
kdt-backendj-21th,백엔드 부트캠프 21기: Java,2026-02-04,13:00 ~ 18:00,Front-End Programming,"HTML, CSS를 이용한 화면 설계 및 표현",김영아,"김다은, 정석현"
kdt-backendj-21th,백엔드 부트캠프 21기: Java,2026-02-05,09:00 ~ 12:00,Front-End Programming,JavaScript 기본 문법,김영아,"김다은, 정석현"
kdt-backendj-21th,백엔드 부트캠프 21기: Java,2026-02-05,13:00 ~ 18:00,Front-End Programming,JavaScript 기본 문법,김영아,"김다은, 정석현"
kdt-backendj-21th,백엔드 부트캠프 21기: Java,2026-02-06,09:00 ~ 12:00,Front-End Programming,JavaScript 기본 문법,김영아,"김다은, 정석현"
kdt-backendj-21th,백엔드 부트캠프 21기: Java,2026-02-06,13:00 ~ 18:00,Front-End Programming,JavaScript 기본 문법,김영아,"김다은, 정석현"
kdt-backendj-21th,백엔드 부트캠프 21기: Java,2026-02-09,09:00 ~ 12:00,Front-End Programming,React.js 기반의 웹 사이트 구현,김영아,"김다은, 정석현"
kdt-backendj-21th,백엔드 부트캠프 21기: Java,2026-02-09,13:00 ~ 18:00,Front-End Programming,React.js 기반의 웹 사이트 구현,김영아,"김다은, 정석현"
kdt-backendj-21th,백엔드 부트캠프 21기: Java,2026-02-10,09:00 ~ 12:00,Front-End Programming,React.js 기반의 웹 사이트 구현,김영아,"김다은, 정석현"
kdt-backendj-21th,백엔드 부트캠프 21기: Java,2026-02-10,13:00 ~ 18:00,Front-End Programming,React.js 기반의 웹 사이트 구현,김영아,"김다은, 정석현"
kdt-backendj-21th,백엔드 부트캠프 21기: Java,2026-02-11,13:00 ~ 18:00,Front-End Programming,React.js 기반의 웹 사이트 구현,김영아,"김다은, 정석현"
kdt-backendj-21th,백엔드 부트캠프 21기: Java,2026-02-11,09:00 ~ 12:00,Front-End Programming,React.js 기반의 웹 사이트 구현,김영아,"김다은, 정석현"
kdt-backendj-21th,백엔드 부트캠프 21기: Java,2026-02-12,09:00 ~ 12:00,Front-End Programming,React.js 기반의 웹 사이트 구현,김영아,"김다은, 정석현"
kdt-backendj-21th,백엔드 부트캠프 21기: Java,2026-02-12,13:00 ~ 18:00,Front-End Programming,컴포넌트 스타일링(테일윈드 등),김영아,"김다은, 정석현"
kdt-backendj-21th,백엔드 부트캠프 21기: Java,2026-02-13,09:00 ~ 12:00,Front-End Programming,컴포넌트 스타일링(테일윈드 등),김영아,"김다은, 정석현"
kdt-backendj-21th,백엔드 부트캠프 21기: Java,2026-02-13,13:00 ~ 18:00,Front-End Programming,컴포넌트 스타일링(테일윈드 등),김영아,"김다은, 정석현"
kdt-backendj-21th,백엔드 부트캠프 21기: Java,2026-02-23,09:00 ~ 12:00,Front-End Programming,React Query 와 같은 서버상태 관리도구 사용,김영아,"김다은, 정석현"
kdt-backendj-21th,백엔드 부트캠프 21기: Java,2026-02-23,13:00 ~ 18:00,Front-End Programming,React Query 와 같은 서버상태 관리도구 사용,김영아,"김다은, 정석현"
kdt-backendj-21th,백엔드 부트캠프 21기: Java,2026-02-24,09:00 ~ 12:00,Back-End Programming,HTTP 통신 개요 및 웹 작동 방식,김영아,"김다은, 정석현"
kdt-backendj-21th,백엔드 부트캠프 21기: Java,2026-02-24,13:00 ~ 18:00,Back-End Programming,HTTP 통신 개요 및 웹 작동 방식,김영아,"김다은, 정석현"
kdt-backendj-21th,백엔드 부트캠프 21기: Java,2026-02-25,09:00 ~ 12:00,Back-End Programming,HTTP 통신 개요 및 웹 작동 방식,김영아,"김다은, 정석현"
kdt-backendj-21th,백엔드 부트캠프 21기: Java,2026-02-25,13:00 ~ 18:00,Back-End Programming,HTTP 통신 개요 및 웹 작동 방식,김영아,"김다은, 정석현"
kdt-backendj-21th,백엔드 부트캠프 21기: Java,2026-02-26,09:00 ~ 12:00,Back-End Programming,HTTP 통신 개요 및 웹 작동 방식,김영아,"김다은, 정석현"
kdt-backendj-21th,백엔드 부트캠프 21기: Java,2026-02-26,13:00 ~ 18:00,Back-End Programming,HTTP 통신 개요 및 웹 작동 방식,김영아,"김다은, 정석현"
kdt-backendj-21th,백엔드 부트캠프 21기: Java,2026-02-27,09:00 ~ 12:00,Back-End Programming,HTTP 통신 개요 및 웹 작동 방식,김영아,"김다은, 정석현"
kdt-backendj-21th,백엔드 부트캠프 21기: Java,2026-02-27,13:00 ~ 18:00,Back-End Programming,HTTP 통신 개요 및 웹 작동 방식,김영아,"김다은, 정석현"
